id,full_name,pdes,name,diameter,rot_per,BV,UB,IR,spec_B,spec_T,a
a0016695," 16695 Terryhandley (1995 AM)",16695,Terryhandley,,,,,,,,2.158120907508158
a0016724," 16724 Ullilotzmann (1995 YV3)",16724,Ullilotzmann,,,,,,,,2.791919288828232
a0016851," 16851 (1997 YU1)",16851,,,,,,,,,2.294040980397132
a0016868," 16868 (1998 AK8)",16868,,,,,,,,,1.797891429449174
a0016958," 16958 Klaasen (1998 PF)",16958,Klaasen,,,,,,,,2.008086543621819
a0017435," 17435 di Giovanni (1989 SP3)",17435,"di Giovanni",,,,,,,,2.367851071579429
a0017493," 17493 Wildcat (1991 YA)",17493,Wildcat,,,,,,,,2.736834700765942
a0017555," 17555 Kenkennedy (1993 VC5)",17555,Kenkennedy,,,,,,,,2.370675292182942
a0017640," 17640 Mount Stromlo (1996 PA7)",17640,"Mount Stromlo",3.847,,,,,,,2.322968013718947
a0017744," 17744 Jodiefoster (1998 BZ31)",17744,Jodiefoster,,,,,,,,2.393023063536118
a0018181," 18181 (2000 QD34)",18181,,4.558,5.180,,,,,,2.339356566356477
a0018195," 18195 (2000 QG116)",18195,,,5.25,,,,,,2.253247443838475
a0018284," 18284 Tsereteli (1970 PU)",18284,Tsereteli,,,,,,,,2.209467675346899
a0018398," 18398 Bregenz (1992 SQ23)",18398,Bregenz,,5.376,,,,,,2.306941260954111
a0018499," 18499 Showalter (1996 MR)",18499,Showalter,,,,,,,,2.391991740776712
a0018514," 18514 (1996 TE11)",18514,,,,,,,Xc,,2.570411655554446
a0018620," 18620 (1998 DS10)",18620,,,,,,,,,2.282589254599492
a0018726," 18726 (1998 KC2)",18726,,,,,,,,,2.36343901701368
a0018899," 18899 (2000 JQ2)",18899,,2.136,222.,,,,,,2.299870576055962
a0018919," 18919 (2000 OJ52)",18919,,,,,,,,,2.569876472189918
a0019080," 19080 Martinfierro (1970 JB)",19080,Martinfierro,,,,,,,,2.315978031669811
a0019127," 19127 Olegefremov (1987 QH10)",19127,Olegefremov,,,,,,,,2.168575236324001
a0019388," 19388 (1998 DQ3)",19388,,3.623,,,,,,,2.292258540625204
a0019402," 19402 (1998 EG14)",19402,,,2.825,,,,,,2.24329294649707
a0019877," 19877 (9086 P-L)",19877,,,,,,,,,2.230020338775293
a0019958," 19958 (1985 RN4)",19958,,,,,,,,,2.380846813355004
a0019982," 19982 Barbaradoore (1990 BJ)",19982,Barbaradoore,4.668,3.3162,,,,,,2.334536850546442
a0020037," 20037 Duke (1992 UW4)",20037,Duke,,5.428,,,,,,1.883923140838362
a0020062," 20062 (1993 QB3)",20062,,,,,,,,,2.231035368577075
a0020137," 20137 (1996 PX8)",20137,,,11.16,,,,,,2.289581075036388
a0020187," 20187 Janapittichova (1997 AN17)",20187,Janapittichova,5.235,,,,,,,2.337568695848828
a0020446," 20446 (1999 JB80)",20446,,,3.199,,,,,,2.301586547170086
a0020691," 20691 (1999 VY72)",20691,,,2.6990,,,,,,2.363236428018007
a0020786," 20786 (2000 RG62)",20786,,,,,,,,,2.196479080358318
a0020860," 20860 (2000 VS34)",20860,,,,,,,,,2.718580956042766
a0020958," 20958 (A900 MA)",20958,,2.847,,,,,,,2.329643905060813
a0021001," 21001 Trogrlic (1987 GF)",21001,Trogrlic,,,,,,,,2.328456654820119
a0021028," 21028 (1989 TO)",21028,,,3.6644,,,,,,2.33295780685296
a0021030," 21030 (1989 TZ11)",21030,,,,,,,,,2.354243055544022
a0021056," 21056 (1991 CA1)",21056,,,5.60,,,,,,1.850370448821808
a0021104," 21104 Sveshnikov (1992 PY)",21104,Sveshnikov,3.614,2.840,,,,,,2.340969767181306
a0021183," 21183 (1994 EO2)",21183,,,,,,,,,2.297326407606768
a0021228," 21228 (1995 SC)",21228,,,,,,,,,2.75911710566161
a0021788," 21788 (1999 SZ5)",21788,,,,,,,,,2.428072335944894
a0021893," 21893 (1999 VL4)",21893,,,4.02,,,,,,2.361365596266241
a0022168," 22168 Weissflog (2000 WX158)",22168,Weissflog,,,,,,,,2.155147096813653
a0022283," 22283 Pytheas (1986 PY)",22283,Pytheas,,5.730,,,,,,2.188940031746953
a0022385," 22385 Fujimoriboshi (1994 EK7)",22385,Fujimoriboshi,,,,,,,,2.325788166869796
a0022449," 22449 Ottijeff (1996 VC)",22449,Ottijeff,3.856,,,,,S,,2.342134332583035
a0022601," 22601 (1998 HD124)",22601,,,11.8785,,,,,,2.308814680411984
a0022807," 22807 (1999 RK7)",22807,,,,,,,,,2.173920497563546
a0022844," 22844 (1999 RU111)",22844,,6.663,5.763,,,,,,2.880986949522277
a0023250," 23250 (2000 WQ181)",23250,,,,,,,,,2.327192439315635
a0023621," 23621 (1996 PA)",23621,,,2.6649,,,,,,1.904042328261443
a0023726," 23726 (1998 HG48)",23726,,,,,,,,,2.164144199996834
a0023738," 23738 (1998 JZ1)",23738,,,6.2883,,,,,,2.156232078570818
a0023983," 23983 (1999 NS11)",23983,,,,,,,,,2.299939037961152
a0024029," 24029 (1999 RT198)",24029,,,5.492,,,,,,2.310931005039066
a0024143," 24143 (1999 VY124)",24143,,,3.436,,,,,,2.173054260320061
a0024242," 24242 (1999 XY100)",24242,,2.908,49.94,,,,,,2.170390882502228
a0024447," 24447 (2000 QY1)",24447,,,,,,,,,1.723808574177718
a0024495," 24495 Degroff (2001 AV1)",24495,Degroff,,24.083,,,,,,2.171436025500106
a0024643," 24643 MacCready (1984 SS)",24643,MacCready,,4.5070,,,,,,2.322315643957155
a0024654," 24654 Fossett (1987 KL)",24654,Fossett,,6.003,,,,,,1.894191724072713
a0024682," 24682 (1990 BH)",24682,,,,,,,,,2.241011803635313
a0024693," 24693 (1990 SB2)",24693,,,,,,,,,2.407295151932096
a0024806," 24806 (1994 RH9)",24806,,,,,,,,,2.409220332164397
a0024809," 24809 (1994 TW3)",24809,,,,,,,,,1.937009868189104
a0024814," 24814 (1994 VW1)",24814,,,4.533,,,,,,1.962168582471063
a0024819," 24819 (1994 XY4)",24819,,,27.73,,,,,,1.873649632817082
a0024883," 24883 (1996 VG9)",24883,,2.276,,,,,,,1.876396782275539
a0024970," 24970 (1998 FC12)",24970,,,,,,,,,2.078464764495425
a0025037," 25037 (1998 QC37)",25037,,2.942,,,,,,,2.198706185823378
a0025362," 25362 (1999 TH24)",25362,,2.741,,,,,,,2.285858750754959
a0025872," 25872 (2000 MV1)",25872,,,,,,,,,2.111489004182705
a0025974," 25974 (2001 FF43)",25974,,,,,,,,,2.327289858131697
